classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler,class_weight
LogisticReg,0.3641025641025641,0.3044094973789701,0.9989880590973487,0.46662885233503504,0.559045732141614,0.13200897148349888,0.002577319587628866,1.0,0.005141388174807198,0.565028901734104,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.8882502113271344,0.7145343777197564,0.9969641772920461,0.832446134347275,0.9216311045785441,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9784164553395323,0.9316287878787879,0.9955474600283344,0.962528128363174,0.9836765728757728,0.9541813521307273,0.014285714285714285,0.2857142857142857,0.027210884353741496,0.6206991467107074,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8963651732882502,0.7294378698224852,0.9979761181946974,0.8428339458165969,0.9275650662826034,0.7830823454021147,0.004437869822485207,0.42857142857142855,0.008784773060029283,0.6062253417744747,0,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.7416173570019724,0.51876449504533,0.9959522363893949,0.6821931101407084,0.8197115133837009,0.6369753284203781,0.005272407732864675,0.8571428571428571,0.010480349344978167,0.7468116340948711,0,0,None,SVMSMOTE,balanced
LogisticReg,0.5,0.5,1.0,0.6666666666666666,0.5,0.002242870874719641,0.002242870874719641,1.0,0.004475703324808183,0.5,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5576772883473914,0.5306037876590278,1.0,0.6933261134425341,0.5576772883473915,0.13361102210829862,0.0022148394241417496,0.8571428571428571,0.004418262150220913,0.4945637214423341,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8589112777257107,0.7799232502893342,1.0,0.8763560453098798,0.8589112777257107,0.649791733418776,0.001834862385321101,0.2857142857142857,0.0036463081130355514,0.46816221671713004,0,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.6671352702280537,0.7136581469648562,0.5582630427991253,0.6264680105170903,0.6671352702280537,0.7821211150272349,0.0029542097488921715,0.2857142857142857,0.0058479532163742695,0.5344756399669695,0,0,None,RandomOverSampler,balanced
LogisticReg,0.6546069315300085,0.44620539757290345,0.9971665654725764,0.6165300631921418,0.7597907179127955,0.4706824735661647,0.0024198427102238356,0.5714285714285714,0.004819277108433735,0.5209422882833288,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.8882502113271344,0.7145343777197564,0.9969641772920461,0.832446134347275,0.9216311045785441,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9784164553395323,0.9316287878787879,0.9955474600283344,0.962528128363174,0.9836765728757728,0.9541813521307273,0.014285714285714285,0.2857142857142857,0.027210884353741496,0.6206991467107074,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8963651732882502,0.7294378698224852,0.9979761181946974,0.8428339458165969,0.9275650662826034,0.7830823454021147,0.004437869822485207,0.42857142857142855,0.008784773060029283,0.6062253417744747,0,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9913778529163144,0.9763231197771588,0.9931188018619712,0.9846493428313434,0.9919124156138972,0.987183595001602,0.0,0.0,0.0,0.49470134874759153,0,0,MM,SVMSMOTE,balanced
LogisticReg,0.5238987816307404,0.5122419587133942,1.0,0.6774603174603175,0.5238987816307403,0.023710349247036206,0.0022920759659463,1.0,0.004573668735707285,0.5107578676942839,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5576772883473914,0.5306037876590278,1.0,0.6933261134425341,0.5576772883473915,0.13361102210829862,0.0022148394241417496,0.8571428571428571,0.004418262150220913,0.4945637214423341,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8589112777257107,0.7799232502893342,1.0,0.8763560453098798,0.8589112777257107,0.649791733418776,0.001834862385321101,0.2857142857142857,0.0036463081130355514,0.46816221671713004,0,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9873086535457669,0.9752456394241755,1.0,0.9874677052404273,0.987308653545767,0.9641140660044858,0.0,0.0,0.0,0.48314065510597304,0,0,MM,RandomOverSampler,balanced
LogisticReg,0.7424063116370808,0.5195024246257642,0.9973689536531066,0.6831635128578358,0.8206932240930325,0.5917975008010253,0.003137254901960784,0.5714285714285714,0.006240249609984399,0.5816359299018258,0,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.8882502113271344,0.7145343777197564,0.9969641772920461,0.832446134347275,0.9216311045785441,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501,0,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9784164553395323,0.9316287878787879,0.9955474600283344,0.962528128363174,0.9836765728757728,0.9541813521307273,0.014285714285714285,0.2857142857142857,0.027210884353741496,0.6206991467107074,0,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8945054945054945,0.7258943029589283,0.9979761181946974,0.8404636100221579,0.926276406488789,0.7721884011534764,0.004225352112676056,0.42857142857142855,0.008368200836820083,0.6007661253325993,0,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9954916877993801,0.9907126993741167,0.9931188018619712,0.9919142914897917,0.9947630872790019,0.9935917975008011,0.0,0.0,0.0,0.49791265253693,0,0,SD,SVMSMOTE,balanced
LogisticReg,0.5622461730709153,0.5331889730990256,1.0,0.695529360638818,0.5622461730709154,0.09388016661326498,0.002117896223085069,0.8571428571428571,0.004225352112676056,0.4746536379484356,0,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,0,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5576772883473914,0.5306037876590278,1.0,0.6933261134425341,0.5576772883473915,0.13361102210829862,0.0022148394241417496,0.8571428571428571,0.004418262150220913,0.4945637214423341,0,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8588722274289284,0.7798757461322938,1.0,0.8763260557114503,0.8588722274289284,0.650112143543736,0.0018365472910927456,0.2857142857142857,0.0036496350364963507,0.4683227819065969,0,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9769603248984692,0.9559504255636853,1.0,0.9774791968852584,0.9769603248984693,0.9554629926305671,0.0,0.0,0.0,0.4788053949903661,0,0,SD,RandomOverSampler,balanced
LogisticReg,0.7256692025922795,0.5037324879844565,0.9969641772920461,0.6692934782608695,0.808970998361737,0.5546299263056712,0.002875629043853343,0.5714285714285714,0.0057224606580829765,0.5630103679236628,0,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.8882502113271344,0.7145343777197564,0.9969641772920461,0.832446134347275,0.9216311045785441,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501,0,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9784164553395323,0.9316287878787879,0.9955474600283344,0.962528128363174,0.9836765728757728,0.9541813521307273,0.014285714285714285,0.2857142857142857,0.027210884353741496,0.6206991467107074,0,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8907861369399831,0.7189094620207027,0.9979761181946974,0.8357627118644068,0.9236990869011601,0.7805190644024351,0.0043859649122807015,0.42857142857142855,0.008683068017366135,0.6049408202587394,0,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9550295857988166,0.8642518023562511,0.9947379073062134,0.924915318027851,0.9672221245372055,0.9214995193848126,0.008264462809917356,0.2857142857142857,0.016064257028112452,0.6043214973850811,0,0,RB,SVMSMOTE,balanced
LogisticReg,0.5510777881911902,0.5269135802469136,1.0,0.6901681759379042,0.5510777881911902,0.07882089074014739,0.0020833333333333333,0.8571428571428571,0.004156563907170073,0.4671070740434903,0,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,0,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5576772883473914,0.5306037876590278,1.0,0.6933261134425341,0.5576772883473915,0.13361102210829862,0.0022148394241417496,0.8571428571428571,0.004418262150220913,0.4945637214423341,0,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8229850046860356,0.7385360789063852,1.0,0.8496068478152682,0.8229850046860356,0.5959628324255046,0.001589825119236884,0.2857142857142857,0.0031620553359683794,0.4411872648866868,0,0,RB,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.7250468603561387,0.7377279102384292,0.6983755076538581,0.7175125376128385,0.7250468603561386,0.631207946171099,0.0017421602787456446,0.2857142857142857,0.0034632034632034636,0.45884943572804837,0,0,RB,RandomOverSampler,balanced
LogisticReg,0.6390532544378699,0.4353471118177,0.9975713418336369,0.6061612248662608,0.7491371235878588,0.5008010253123999,0.0032030749519538757,0.7142857142857143,0.006377551020408164,0.6073034223323241,1,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.7476472245703015,0.5246302798170018,0.9979761181946974,0.6877266387726638,0.8245113330742309,0.5857097084267863,0.0023219814241486067,0.42857142857142855,0.0046189376443418004,0.5073171850628498,1,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.8623837700760778,0.6702548031066903,0.9955474600283344,0.8011400651465798,0.9032720118011087,0.8176866388977891,0.008741258741258742,0.7142857142857143,0.017271157167530225,0.7661023947151115,1,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8454775993237532,0.643594096904793,0.9973689536531066,0.7823464041911414,0.8921162169077779,0.7699455302787568,0.002797202797202797,0.2857142857142857,0.00554016620498615,0.5283741627672263,1,0,None,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.724880247957171,0.5030160515284736,0.9957498482088646,0.6683874473576961,0.808051431445888,0.6235181031720602,0.003401360544217687,0.5714285714285714,0.006762468300929839,0.5975318836590513,1,0,None,SVMSMOTE,balanced
LogisticReg,0.5260465479537645,0.5133715568742232,1.0,0.6784474764869519,0.5260465479537644,0.0387696251201538,0.0019966722129783694,0.8571428571428571,0.00398406374501992,0.4470364253601248,1,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,1,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5855982505467041,0.5468056030064913,1.0,0.7070127001656543,0.5855982505467041,0.1643703941044537,0.002296211251435132,0.8571428571428571,0.004580152671755725,0.5099779796311588,1,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.7751093408309904,0.6897591984054302,1.0,0.8163994006439889,0.7751093408309904,0.5270746555591157,0.002708192281651997,0.5714285714285714,0.005390835579514824,0.5492017616295073,1,0,None,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.5463917525773195,0.5251375370292002,0.9691502655420181,0.6811769226546632,0.5463917525773196,0.1256007689842999,0.0021945866861741038,0.8571428571428571,0.004377964246625319,0.49054959170566104,1,0,None,RandomOverSampler,balanced
LogisticReg,0.5530008453085377,0.3836458414377966,0.9979761181946974,0.5542317635157918,0.6896316079883202,0.3905799423261775,0.003146303093864709,0.8571428571428571,0.006269592476489029,0.6233370033948069,1,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.7476472245703015,0.5246302798170018,0.9979761181946974,0.6877266387726638,0.8245113330742309,0.5857097084267863,0.0023219814241486067,0.42857142857142855,0.0046189376443418004,0.5073171850628498,1,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.8623837700760778,0.6702548031066903,0.9955474600283344,0.8011400651465798,0.9032720118011087,0.8176866388977891,0.008741258741258742,0.7142857142857143,0.017271157167530225,0.7661023947151115,1,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8454775993237532,0.643594096904793,0.9973689536531066,0.7823464041911414,0.8921162169077779,0.7699455302787568,0.002797202797202797,0.2857142857142857,0.00554016620498615,0.5283741627672263,1,0,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9822485207100592,0.945664739884393,0.9933211900425015,0.9689073141841871,0.9856484113286548,0.9804549823774431,0.0,0.0,0.0,0.4913294797687861,1,0,MM,SVMSMOTE,balanced
LogisticReg,0.502303967510153,0.5011546440173784,1.0,0.6676922274659088,0.502303967510153,0.00512656199935918,0.002249357326478149,1.0,0.004488618146841937,0.5014450867052023,1,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,1,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5855982505467041,0.5468056030064913,1.0,0.7070127001656543,0.5855982505467041,0.1643703941044537,0.002296211251435132,0.8571428571428571,0.004580152671755725,0.5099779796311588,1,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.7751093408309904,0.6897591984054302,1.0,0.8163994006439889,0.7751093408309904,0.5270746555591157,0.002708192281651997,0.5714285714285714,0.005390835579514824,0.5492017616295073,1,0,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9821930646672915,0.9656108597285068,1.0,0.9825046040515654,0.9821930646672914,0.9577058635052867,0.0,0.0,0.0,0.47992935131663456,1,0,MM,RandomOverSampler,balanced
LogisticReg,0.6554522400676247,0.4468123696381609,0.9971665654725764,0.6171092184368737,0.7603764723645293,0.5296379365587952,0.002722940776038121,0.5714285714285714,0.005420054200542005,0.5504862831452426,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.7476472245703015,0.5246302798170018,0.9979761181946974,0.6877266387726638,0.8245113330742309,0.5857097084267863,0.0023219814241486067,0.42857142857142855,0.0046189376443418004,0.5073171850628498,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.8623837700760778,0.6702548031066903,0.9955474600283344,0.8011400651465798,0.9032720118011087,0.8176866388977891,0.008741258741258742,0.7142857142857143,0.017271157167530225,0.7661023947151115,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
LightGBM,0.8454775993237532,0.643594096904793,0.9973689536531066,0.7823464041911414,0.8921162169077779,0.7699455302787568,0.002797202797202797,0.2857142857142857,0.00554016620498615,0.5283741627672263,1,0,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9891800507185122,0.9686204854943754,0.9933211900425015,0.9808153477218224,0.9904515978328722,0.9881448253764819,0.0,0.0,0.0,0.4951830443159923,1,0,SD,SVMSMOTE,balanced
LogisticReg,0.5280381130896595,0.5144234632382483,1.0,0.6793654162466175,0.5280381130896594,0.04453700736943288,0.002008704385671242,0.8571428571428571,0.004008016032064128,0.4499265987705294,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5827085285848173,0.5450830140485313,1.0,0.7055711687882296,0.5827085285848173,0.14995193848125601,0.002257336343115124,0.8571428571428571,0.00450281425891182,0.5027525461051472,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5855982505467041,0.5468056030064913,1.0,0.7070127001656543,0.5855982505467041,0.1643703941044537,0.002296211251435132,0.8571428571428571,0.004580152671755725,0.5099779796311588,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.7751093408309904,0.6897591984054302,1.0,0.8163994006439889,0.7751093408309904,0.5270746555591157,0.002708192281651997,0.5714285714285714,0.005390835579514824,0.5492017616295073,1,0,SD,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9684864104967198,0.9407097200793476,1.0,0.9694491766042022,0.9684864104967198,0.93784043575777,0.0,0.0,0.0,0.4699743095696853,1,0,SD,RandomOverSampler,balanced
LogisticReg,0.6335869258946182,0.43166097539619996,0.9977737300141671,0.6026158171372693,0.7454113885934628,0.4911887215636014,0.0031426775612822125,0.7142857142857143,0.006257822277847309,0.6024864666483164,1,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.7476472245703015,0.5246302798170018,0.9979761181946974,0.6877266387726638,0.8245113330742309,0.5857097084267863,0.0023219814241486067,0.42857142857142855,0.0046189376443418004,0.5073171850628498,1,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.8623837700760778,0.6702548031066903,0.9955474600283344,0.8011400651465798,0.9032720118011087,0.8176866388977891,0.008741258741258742,0.7142857142857143,0.017271157167530225,0.7661023947151115,1,0,RB,SVMSMOTE,"{0: 0.005, 1: 1}"
