,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
0,1,1,None,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9974367190003204,0.0,0.0,0.0,0.49983943481053306
1,1,1,None,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
2,1,1,None,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
3,1,1,None,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
4,1,1,None,BdlSMOTE,SVC,0.9982817869415808,0.9989052236471693,0.9976569821930646,0.9982807127227259,0.9982817869415808,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845
5,1,1,MM,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
6,1,1,MM,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
7,1,1,MM,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
8,1,1,MM,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
9,1,1,MM,BdlSMOTE,SVC,0.999843798812871,1.0,0.999687597625742,0.9998437744102484,0.999843798812871,0.9961550785004806,0.0,0.0,0.0,0.4991971740526654
10,1,1,SD,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
11,1,1,SD,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
12,1,1,SD,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
13,1,1,SD,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
14,1,1,SD,BdlSMOTE,SVC,0.9997266479225242,1.0,0.9994532958450484,0.9997265731807351,0.9997266479225242,0.9955142582505607,0.0,0.0,0.0,0.49887604367373156
15,1,1,SD,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
16,1,1,SD,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
17,1,1,SD,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
18,1,1,SD,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
19,1,1,SD,BdlSMOTE,SVC,0.9997266479225242,1.0,0.9994532958450484,0.9997265731807351,0.9997266479225242,0.9955142582505607,0.0,0.0,0.0,0.49887604367373156
20,1,0,None,BdlSMOTE,LogisticReg,0.9719618869103405,0.9490933412604042,0.9974226804123711,0.9726580350342725,0.9719618869103406,0.9506568407561679,0.0,0.0,0.0,0.47639691714836224
21,1,0,None,BdlSMOTE,DecisionTree,0.9123711340206185,0.852187833511206,0.9978131833801936,0.919268959562527,0.9123711340206185,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036
22,1,0,None,BdlSMOTE,RandomForest,0.9649328334895345,0.9363729658407858,0.9976569821930646,0.9660440142176511,0.9649328334895346,0.9182954181352131,0.004,0.14285714285714285,0.007782101167315174,0.5314478392513075
23,1,0,None,BdlSMOTE,LightGBM,0.9498984692283662,0.9107308377896614,0.9975788815995001,0.9521786126952179,0.9498984692283662,0.9022749118872156,0.0033333333333333335,0.14285714285714285,0.006514657980456026,0.5234195797779613
24,1,0,None,BdlSMOTE,SVC,0.9664557950640424,0.9391867049047724,0.9975007810059356,0.967465818278226,0.9664557950640424,0.9384812560076898,0.0,0.0,0.0,0.47029543994861917
25,1,0,MM,BdlSMOTE,LogisticReg,0.9688769134645423,0.9435537495382342,0.9974226804123711,0.9697406887125556,0.9688769134645424,0.9436078180070491,0.0,0.0,0.0,0.47286448298008993
26,1,0,MM,BdlSMOTE,DecisionTree,0.9123711340206185,0.852187833511206,0.9978131833801936,0.919268959562527,0.9123711340206185,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036
27,1,0,MM,BdlSMOTE,RandomForest,0.9649328334895345,0.9363729658407858,0.9976569821930646,0.9660440142176511,0.9649328334895346,0.9182954181352131,0.004,0.14285714285714285,0.007782101167315174,0.5314478392513075
28,1,0,MM,BdlSMOTE,LightGBM,0.9498984692283662,0.9107308377896614,0.9975788815995001,0.9521786126952179,0.9498984692283662,0.9022749118872156,0.0033333333333333335,0.14285714285714285,0.006514657980456026,0.5234195797779613
29,1,0,MM,BdlSMOTE,SVC,0.9977350827866291,0.9977350827866291,0.9977350827866291,0.9977350827866291,0.9977350827866291,0.9932713873758411,0.0,0.0,0.0,0.49775208734746307
30,1,0,SD,BdlSMOTE,LogisticReg,0.9720790378006873,0.9493049877350777,0.9974226804123711,0.9727691663175534,0.9720790378006873,0.9506568407561679,0.0,0.0,0.0,0.47639691714836224
31,1,0,SD,BdlSMOTE,DecisionTree,0.9123711340206185,0.852187833511206,0.9978131833801936,0.919268959562527,0.9123711340206185,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036
32,1,0,SD,BdlSMOTE,RandomForest,0.9649328334895345,0.9363729658407858,0.9976569821930646,0.9660440142176511,0.9649328334895346,0.9182954181352131,0.004,0.14285714285714285,0.007782101167315174,0.5314478392513075
33,1,0,SD,BdlSMOTE,LightGBM,0.9498984692283662,0.9107308377896614,0.9975788815995001,0.9521786126952179,0.9498984692283662,0.9022749118872156,0.0033333333333333335,0.14285714285714285,0.006514657980456026,0.5234195797779613
34,1,0,SD,BdlSMOTE,SVC,0.9971883786316776,0.9959488937363664,0.9984379881287098,0.997191887675507,0.9971883786316776,0.9814162127523229,0.018867924528301886,0.14285714285714285,0.03333333333333333,0.5630791815762914
35,1,0,RB,BdlSMOTE,LogisticReg,0.971883786316776,0.9489522960320999,0.9974226804123711,0.9725839616175461,0.971883786316776,0.950336430631208,0.0,0.0,0.0,0.4762363519588953
36,1,0,RB,BdlSMOTE,DecisionTree,0.9123711340206185,0.852187833511206,0.9978131833801936,0.919268959562527,0.9123711340206185,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036
37,1,0,RB,BdlSMOTE,RandomForest,0.9649328334895345,0.9363729658407858,0.9976569821930646,0.9660440142176511,0.9649328334895346,0.9182954181352131,0.004,0.14285714285714285,0.007782101167315174,0.5314478392513075
38,1,0,RB,BdlSMOTE,LightGBM,0.9498984692283662,0.9107308377896614,0.9975788815995001,0.9521786126952179,0.9498984692283662,0.9022749118872156,0.0033333333333333335,0.14285714285714285,0.006514657980456026,0.5234195797779613
39,1,0,RB,BdlSMOTE,SVC,0.6721727585129647,0.6040791275199471,0.9992970946579194,0.7529792555539209,0.6721727585129647,0.3463633450817046,0.00293398533007335,0.8571428571428571,0.0058479532163742695,0.6011790072483714
40,0,1,None,BdlSMOTE,LogisticReg,0.8271633864417369,0.7436598417868776,0.9985160887222743,0.8524469929323909,0.827163386441737,0.6472284524190964,0.0054249547920434,0.8571428571428571,0.010781671159029648,0.7519497201578127
41,0,1,None,BdlSMOTE,DecisionTree,0.9427522649172134,0.8986638537271449,0.9980474851608873,0.9457519242155121,0.9427522649172133,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363
42,0,1,None,BdlSMOTE,RandomForest,0.8695720087472665,0.7938035514715013,0.9985160887222743,0.8844690418540296,0.8695720087472665,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424
43,0,1,None,BdlSMOTE,LightGBM,0.9982817869415808,0.9990613266583229,0.9975007810059356,0.9982804439581053,0.9982817869415808,0.9971163088753605,0.0,0.0,0.0,0.49967886962106617
44,0,1,None,BdlSMOTE,SVC,0.6322243049047173,0.5762543914962616,0.9992189940643549,0.7309604067874078,0.6322243049047173,0.2842037808394745,0.0031236055332440876,1.0,0.0062277580071174385,0.6412973667308928
45,0,1,MM,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
46,0,1,MM,BdlSMOTE,DecisionTree,0.9427522649172134,0.8986638537271449,0.9980474851608873,0.9457519242155121,0.9427522649172133,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363
47,0,1,MM,BdlSMOTE,RandomForest,0.8695720087472665,0.7938035514715013,0.9985160887222743,0.8844690418540296,0.8695720087472665,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424
48,0,1,MM,BdlSMOTE,LightGBM,0.9982817869415808,0.9990613266583229,0.9975007810059356,0.9982804439581053,0.9982817869415808,0.9971163088753605,0.0,0.0,0.0,0.49967886962106617
49,0,1,MM,BdlSMOTE,SVC,0.9999609497032177,1.0,0.9999218994064355,0.9999609481782324,0.9999609497032178,0.9967958987504005,0.0,0.0,0.0,0.4995183044315992
50,0,1,SD,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
51,0,1,SD,BdlSMOTE,DecisionTree,0.9427522649172134,0.8986638537271449,0.9980474851608873,0.9457519242155121,0.9427522649172133,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363
52,0,1,SD,BdlSMOTE,RandomForest,0.8695720087472665,0.7938035514715013,0.9985160887222743,0.8844690418540296,0.8695720087472665,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424
53,0,1,SD,BdlSMOTE,LightGBM,0.996641674476726,0.9957898019647591,0.9975007810059356,0.9966445571595786,0.996641674476726,0.9891060557513618,0.0,0.0,0.0,0.4956647398843931
54,0,1,SD,BdlSMOTE,SVC,0.9999218994064355,1.0,0.999843798812871,0.9999218933062564,0.9999218994064355,0.9955142582505607,0.0,0.0,0.0,0.49887604367373156
55,0,1,RB,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
56,0,1,RB,BdlSMOTE,DecisionTree,0.9427522649172134,0.8986638537271449,0.9980474851608873,0.9457519242155121,0.9427522649172133,0.7824415251521948,0.0029585798816568047,0.2857142857142857,0.005856515373352854,0.5346362051564363
57,0,1,RB,BdlSMOTE,RandomForest,0.8695720087472665,0.7938035514715013,0.9985160887222743,0.8844690418540296,0.8695720087472665,0.7484780519064402,0.0025575447570332483,0.2857142857142857,0.005069708491761724,0.5176162950729424
58,0,1,RB,BdlSMOTE,LightGBM,0.996954076850984,0.9964887640449438,0.9974226804123711,0.9969555035128805,0.996954076850984,0.9903876962512015,0.0,0.0,0.0,0.49630700064226074
59,0,1,RB,BdlSMOTE,SVC,0.6438222430490472,0.584036873089034,0.9995313964386129,0.7372756862632139,0.6438222430490471,0.29605895546299266,0.0027247956403269754,0.8571428571428571,0.005432322317790856,0.5759702725020643
60,0,0,None,BdlSMOTE,LogisticReg,0.823961262105592,0.7401296746555517,0.9985160887222743,0.8501230134982379,0.8239612621055921,0.6456264017942966,0.0054005400540054005,0.8571428571428571,0.01073345259391771,0.7511468942104781
61,0,0,None,BdlSMOTE,DecisionTree,0.955990315526398,0.9206715181209021,0.9979693845673228,0.9577633699359142,0.955990315526398,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171
62,0,0,None,BdlSMOTE,RandomForest,0.9426351140268666,0.8984743021865992,0.9980474851608873,0.9456469456469456,0.9426351140268666,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032
63,0,0,None,BdlSMOTE,LightGBM,0.987777257107154,0.9781793124569329,0.9978131833801936,0.9878987048134544,0.9877772571071539,0.9602691445049664,0.01652892561983471,0.2857142857142857,0.03125,0.623749885310579
64,0,0,None,BdlSMOTE,SVC,0.6323805060918463,0.5763582304712136,0.9992189940643549,0.731043940346266,0.6323805060918464,0.2842037808394745,0.0031236055332440876,1.0,0.0062277580071174385,0.6412973667308928
65,0,0,MM,BdlSMOTE,LogisticReg,0.9901983755076539,0.9832165678651167,0.9974226804123711,0.9902686775481719,0.9901983755076539,0.975328420378084,0.0,0.0,0.0,0.48876043673731534
66,0,0,MM,BdlSMOTE,DecisionTree,0.955990315526398,0.9206715181209021,0.9979693845673228,0.9577633699359142,0.955990315526398,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171
67,0,0,MM,BdlSMOTE,RandomForest,0.9426351140268666,0.8984743021865992,0.9980474851608873,0.9456469456469456,0.9426351140268666,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032
68,0,0,MM,BdlSMOTE,LightGBM,0.987777257107154,0.9781793124569329,0.9978131833801936,0.9878987048134544,0.9877772571071539,0.9602691445049664,0.01652892561983471,0.2857142857142857,0.03125,0.623749885310579
69,0,0,MM,BdlSMOTE,SVC,0.9988675413933146,0.9996089166992569,0.9981255857544518,0.9988667005353863,0.9988675413933147,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845
70,0,0,SD,BdlSMOTE,LogisticReg,0.992970946579194,0.9886205294937297,0.9974226804123711,0.9930020993701889,0.9929709465791939,0.9826978532521627,0.0,0.0,0.0,0.4924534360950546
71,0,0,SD,BdlSMOTE,DecisionTree,0.955990315526398,0.9206715181209021,0.9979693845673228,0.9577633699359142,0.955990315526398,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171
72,0,0,SD,BdlSMOTE,RandomForest,0.9426351140268666,0.8984743021865992,0.9980474851608873,0.9456469456469456,0.9426351140268666,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032
73,0,0,SD,BdlSMOTE,LightGBM,0.987777257107154,0.9781793124569329,0.9978131833801936,0.9878987048134544,0.9877772571071539,0.9602691445049664,0.01652892561983471,0.2857142857142857,0.03125,0.623749885310579
74,0,0,SD,BdlSMOTE,SVC,0.9992189940643549,0.9996091918086603,0.9988284910965324,0.999218688960075,0.999218994064355,0.9897468760012816,0.0,0.0,0.0,0.4959858702633269
75,0,0,RB,BdlSMOTE,LogisticReg,0.9925023430178069,0.9877030162412993,0.9974226804123711,0.9925390533923992,0.9925023430178069,0.9814162127523229,0.0,0.0,0.0,0.4918111753371869
76,0,0,RB,BdlSMOTE,DecisionTree,0.955990315526398,0.9206715181209021,0.9979693845673228,0.9577633699359142,0.955990315526398,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171
77,0,0,RB,BdlSMOTE,RandomForest,0.9426351140268666,0.8984743021865992,0.9980474851608873,0.9456469456469456,0.9426351140268666,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032
78,0,0,RB,BdlSMOTE,LightGBM,0.9876991565135895,0.9780295491081681,0.9978131833801936,0.9878223218772954,0.9876991565135894,0.9599487343800064,0.01639344262295082,0.2857142857142857,0.031007751937984496,0.6235893201211119
79,0,0,RB,BdlSMOTE,SVC,0.6658466104342393,0.5994660171436601,0.9995313964386129,0.7494509999121598,0.6658466104342393,0.3425184235821852,0.002916869227029655,0.8571428571428571,0.005813953488372094,0.5992522249747683
